🕘️更新时间,#genre#
2025-09-03 06:38:09,https://mursor.ottiptv.cc/migu/608807420.m3u8?migutoken=d0149f8f2ea5093ee1f79f4f577b23fdef70aab6a6f3b15e69ea48614b1ff60eecc3bce9951f20ed9b231c5f09863dfaf895e34188b518a2b4a18ea014d1dfb394c86bcda3c8ca3c1476cf99eb

📺央视频道,#genre#
CCTV-1,https://mursor.ottiptv.cc/migu/608807420.m3u8?migutoken=d0149f8f2ea5093ee1f79f4f577b23fdef70aab6a6f3b15e69ea48614b1ff60eecc3bce9951f20ed9b231c5f09863dfaf895e34188b518a2b4a18ea014d1dfb394c86bcda3c8ca3c1476cf99eb
CCTV-1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV-1,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3
CCTV-2,https://mursor.ottiptv.cc/migu/631780532.m3u8?migutoken=ff13f1932f09552ff2b7bdb8cae6c5be0957081678977baf64f195056922183311f5b83d9b984828156b507a25da416a22894f1b9c79d519a9796917686824b9e8b50feeba26cce8c198aed46b
CCTV-2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV-2,http://[2409:8087:1a15:10d1::38]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8
CCTV-2,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226540/index.m3u8
CCTV-2,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221225588/index.m3u8
CCTV-2,http://[2409:8087:1a01:df::406f]:80/wh7f454c46tw1241164675_1575082505/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8?icpid=88888888&RTS=1713968070&from=4&hms_devid=692&prioritypopid=4&online=1713968070&vqe=3
CCTV-3,https://mursor.ottiptv.cc/migu/624878271.m3u8?migutoken=0ac03cb105995bdeb903f0ace1ffe3777fddc872afba0ca6f390dbddef0ff15525ad9675741ade0f27357313d9a54708aaa6ad347405fec3016bc1e3e7af02780332407ff9d725e36fe9c27e39
CCTV-3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV-3,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227333/index.m3u8
CCTV-3,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8
CCTV-3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3,https://www.freetv.top/migu/624878271.m3u8?migutoken=35ee1318e92e1d47aa4e9ad2f98c1ca771a9ca57db36d1e18c3a4fabedd68b40ee0c4c4724347e54708380241e58d714dde21dcbd0f2eff4373c9d9f7f1508646f22febd08f5c3a8c755f6ef1e
CCTV-3,http://[2409:8087:1a01:df::4041]:80/TVOD/88888888/224/3221225799/main.m3u8
CCTV-4,https://mursor.ottiptv.cc/migu/631780421.m3u8?migutoken=75f6410ca0f318e23194cdca072934aa6751c54b1599b3d51ff65590d739e618e08be4a609b1588ae3aa1736d83f4027beedb415f74952ea441cfb9fd04e2b3baecd7373e2942963020862edd8
CCTV-4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV-4,http://[2409:8087:1a15:10d1::38]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-4,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8
CCTV-4,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8
CCTV-4,https://www.freetv.top/migu/631780421.m3u8?migutoken=fefc6a44400a0dd448699ae0ce3d6e2c5a0f49b8d48adb36e747c4fbab039337eb3244f9951acbddaf26b7bf51597a7d1b43c8845e67fd5914ece875dcad325bb388200bc0f12fdff727d03e2d
CCTV-5,https://mursor.ottiptv.cc/migu/641886683.m3u8?migutoken=3925f455fabc879baea98e174955b0ff69b297166478f3514230c3f76a790ad63f5ca6b3b4c37fceaa81aefea1fa98bf91ec9824fd60b6366cff3e88796ece54259d5aec9416fe6f4d81535756
CCTV-5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV-5,http://[2409:8087:1a15:10d1::39]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5,https://www.freetv.top/migu/641886683.m3u8?migutoken=3e5c01f93922de8d1c940fe15bb47349b27e8f7a2e624dde1a83dff3b2a80f58b7624151a3a4d00488edee34f202818557340903382fae02bb754084eb942bd50e59061df36fab62fb5b908903
CCTV-5,https://smart.pendy.dpdns.org/Smart.php?id=cctv5
CCTV-5,https://ldcctvwbcdks.v.kcdnvip.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100
CCTV-5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226019/index.m3u8
