🕘️更新时间,#genre#
2025-08-14 06:12:18,http://123.52.14.64:9901/tsfile/live/0001_1.m3u8

📺央视频道,#genre#
CCTV-1,http://123.52.14.64:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://123.174.106.183:8888/rtp/239.1.1.7:8007
CCTV-1,http://222.185.98.96:888/rtp/239.49.1.1:6000
CCTV-1,http://222.185.98.96:888/rtp/239.49.0.1:8000
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV-1,http://183.131.246.250:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://101.66.195.105:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://101.66.199.251:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://3501776.xyz:35455/gaoma/cctv1.m3u8
CCTV-1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV-1,https://mursor.ottiptv.cc/migu/608807420.m3u8?migutoken=5139cce6c12958838565ba895759373d2daf43c7218531d60216c68e1929a2721d781c420eb66b425c90abade1f412957e72bfb11a920543f1e35cd07277d4db951477ea85d008ba99bd40595d
CCTV-2,http://123.52.14.64:9901/tsfile/live/0002_1.m3u8
CCTV-2,http://222.185.98.96:888/rtp/239.49.1.2:6000
CCTV-2,http://222.185.98.96:888/rtp/239.49.0.2:8008
CCTV-2,http://112.123.206.32:808/hls/2/index.m3u8
CCTV-2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8
CCTV-2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8
CCTV-2,http://3501776.xyz:35455/gaoma/cctv2.m3u8
CCTV-2,http://36.105.100.208:35455/gaoma/cctv2.m3u8
CCTV-2,http://101.66.199.251:9901/tsfile/live/0002_1.m3u8
CCTV-2,http://101.66.195.105:9901/tsfile/live/0002_1.m3u8
CCTV-2,https://mursor.ottiptv.cc/migu/631780532.m3u8?migutoken=abe81266a9eafca648f3916a560eb426608fc20f935d08dbd835f611906f4e71724cbe25e9acca78e1b73f461802fdd0651d7721116aa15150e68d47b67bd053ffa04f66cabb783d4ca7fed8d4
CCTV-3,http://123.52.14.64:9901/tsfile/live/0003_1.m3u8
CCTV-3,http://222.185.98.96:888/rtp/239.49.1.3:6000
CCTV-3,http://222.185.98.96:888/rtp/239.49.0.3:9566
CCTV-3,http://123.130.84.106:8154/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
